,Absolute_Path,Label,Width,Height,Channels,Numerical
0,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0000.jpg,cat,300,480,3,0
1,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0001.jpg,cat,320,480,3,0
2,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0002.jpg,cat,319,480,3,0
3,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0003.jpg,cat,300,480,3,0
4,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0004.jpg,cat,300,480,3,0
5,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0005.jpg,cat,320,382,3,0
6,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0006.jpg,cat,320,480,3,0
7,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0007.jpg,cat,300,480,3,0
8,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0008.jpg,cat,319,480,3,0
9,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0009.jpg,cat,300,480,3,0
10,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0010.jpg,cat,320,480,3,0
11,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0011.jpg,cat,300,480,3,0
12,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0012.jpg,cat,300,480,3,0
13,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0013.jpg,cat,320,427,3,0
14,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0014.jpg,cat,320,427,3,0
15,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0015.jpg,cat,300,480,3,0
16,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0016.jpg,cat,300,480,3,0
17,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0017.jpg,cat,320,480,3,0
18,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0018.jpg,cat,319,480,3,0
19,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0019.jpg,cat,320,479,3,0
20,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0020.jpg,cat,300,480,3,0
21,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0021.jpg,cat,270,480,3,0
22,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0022.jpg,cat,320,467,3,0
23,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0023.jpg,cat,300,480,3,0
24,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0024.jpg,cat,300,480,3,0
25,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0025.jpg,cat,270,480,3,0
26,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0026.jpg,cat,320,480,3,0
27,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0027.jpg,cat,300,480,3,0
28,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0028.jpg,cat,300,480,3,0
29,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0029.jpg,cat,270,480,3,0
30,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0030.jpg,cat,320,427,3,0
31,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0031.jpg,cat,320,480,3,0
32,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0032.jpg,cat,300,480,3,0
33,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0033.jpg,cat,320,360,3,0
34,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0034.jpg,cat,320,427,3,0
35,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0035.jpg,cat,300,480,3,0
36,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0036.jpg,cat,320,424,3,0
37,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0037.jpg,cat,320,431,3,0
38,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0038.jpg,cat,320,427,3,0
39,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0039.jpg,cat,320,427,3,0
40,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0040.jpg,cat,320,476,3,0
41,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0041.jpg,cat,320,480,3,0
42,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0042.jpg,cat,320,480,3,0
43,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0043.jpg,cat,270,480,3,0
44,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0044.jpg,cat,320,359,3,0
45,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0045.jpg,cat,300,480,3,0
46,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0046.jpg,cat,320,236,3,0
47,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0047.jpg,cat,320,427,3,0
48,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0048.jpg,cat,300,480,3,0
49,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0049.jpg,cat,320,480,3,0
50,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0050.jpg,cat,319,480,3,0
51,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0051.jpg,cat,320,256,3,0
52,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0052.jpg,cat,320,456,3,0
53,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0053.jpg,cat,300,480,3,0
54,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0054.jpg,cat,320,480,3,0
55,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0055.jpg,cat,320,480,3,0
56,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0056.jpg,cat,320,427,3,0
57,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0057.jpg,cat,320,427,3,0
58,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0058.jpg,cat,320,427,3,0
59,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0059.jpg,cat,320,480,3,0
60,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0060.jpg,cat,270,480,3,0
61,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0061.jpg,cat,270,480,3,0
62,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0062.jpg,cat,319,480,3,0
63,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0063.jpg,cat,320,400,3,0
64,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0064.jpg,cat,320,427,3,0
65,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0065.jpg,cat,318,480,3,0
66,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0066.jpg,cat,320,390,3,0
67,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0067.jpg,cat,300,480,3,0
68,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0068.jpg,cat,313,480,3,0
69,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0069.jpg,cat,320,480,3,0
70,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0070.jpg,cat,270,480,3,0
71,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0071.jpg,cat,320,427,3,0
72,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0072.jpg,cat,300,480,3,0
73,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0073.jpg,cat,318,480,3,0
74,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0074.jpg,cat,300,480,3,0
75,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0075.jpg,cat,300,480,3,0
76,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0076.jpg,cat,320,480,3,0
77,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0077.jpg,cat,319,480,3,0
78,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0078.jpg,cat,320,480,3,0
79,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0079.jpg,cat,320,427,3,0
80,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0080.jpg,cat,320,480,3,0
81,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0081.jpg,cat,320,480,3,0
82,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0082.jpg,cat,300,480,3,0
83,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0083.jpg,cat,300,480,3,0
84,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0084.jpg,cat,300,480,3,0
85,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0085.jpg,cat,320,463,3,0
86,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0086.jpg,cat,320,480,3,0
87,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0087.jpg,cat,320,480,3,0
88,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0088.jpg,cat,300,480,3,0
89,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0089.jpg,cat,300,480,3,0
90,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0090.jpg,cat,270,480,3,0
91,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0091.jpg,cat,300,480,3,0
92,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0092.jpg,cat,300,480,3,0
93,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0093.jpg,cat,320,400,3,0
